prize_id,prize_alias,prize_name,prize_institution,prize_year,prize_genre,person_id,person_role,last_name,first_name,name,gender,sexuality,uk_residence,ethnicity_macro,ethnicity,highest_degree,degree_institution,degree_field_category,degree_field,viaf,book_id,book_title,decade
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,1992,crime,0489,winner,Dexter,Colin,"Dexter, Colin",Male,queer,UK,White British,English,Bachelors,University of Cambridge,Language and Literature,Classics,35243485,00625,The Way Through the Woods,1990
5,Costa Biography Award,Whitbread Biography,Whitbread,1992,biography,0163,winner,Glendinning,Victoria,"Glendinning, Victoria",Female,unknown,UK,White British,British,Bachelors,University of Oxford,Language and Literature,Modern Languages,4943929,00119,Trollope,1990
4,Costa Novel Award,Whitbread Novel,Whitbread,1992,fiction,0162,winner,Gray,Alasdair,"Gray, Alasdair",Male,unknown,UK,White British,Scottish,unknown,Glasgow Scool of Art,Arts,Design and Mural Painting,114328115,00121,Poor Things,1990
6,Costa Poetry Award,Whitbread Poetry,Whitbread,1992,poetry,0164,winner,Harrison,Tony,"Harrison, Tony",Male,unknown,UK,White British,English,Postgraduate,unknown,unknown,unknown,109297940,00132,The Gaze of the Gorgon,1990
8,Booker Prize,Booker Prize,Booker Foundation,1992,fiction,0291,shortlisted,Hope,Christopher,"Hope, Christopher",Male,unknown,UK,Non-UK White,White South African,unknown,University of the Witwatersrand,unknown,unknown,108733442,00145,Serenity House,1990
8,Booker Prize,Booker Prize,Booker Foundation,1992,fiction,0270,shortlisted,McCabe,Patrick,"McCabe, Patrick",Male,unknown,Non-UK,Irish,Irish,unknown,St Patrick's Training College,unknown,unknown,113858716,00202,The Butcher Boy,1990
8,Booker Prize,Booker Prize,Booker Foundation,1992,fiction,0017,shortlisted,McEwan,Ian,"McEwan, Ian",Male,unknown,UK,White British,English,Masters,University of East Anglia,Writing,Creative Writing,109587997,00210,Black Dogs,1990
8,Booker Prize,Booker Prize,Booker Foundation,1992,fiction,0290,winner,Ondaatje,Michael,"Ondaatje, Michael",Male,unknown,Non-UK,Asian,Dutch Sri Lankan Canadian,Masters,McGill University,Language and Literature,English Literature,111941870,00252,The English Patient,1990
8,Booker Prize,Booker Prize,Booker Foundation,1992,fiction,0292,shortlisted,Roberts,Michèle,"Roberts, Michèle",Female,unknown,UK,White British,French British,Bachelors,University of Oxford,Language and Literature,English Literature,61642536,00274,Daughters of the House,1990
12,BSFA Award for Best Novel,BSFA Award for Best Novel,British Science Fiction Association,1992,sff,0511,winner,Robinson,Kim Stanley,"Robinson, Kim Stanley",Male,unknown,Non-UK,Non-UK White,White American,Doctorate,"University of California, San Diego",Language and Literature,Science Fiction,44318934,00658,Red Mars,1990
1,James Tait Black Prize for Fiction,James Tait Black Prize for Fiction,The University of Edinburgh,1992,fiction,0032,winner,Sinclair,Iain,"Sinclair, Iain",Male,unknown,UK,White British,Welsh,Bachelors,University of Cambridge,Language and Literature,English Literature,37065843,00298,Downriver,1990
2,Costa Book of the Year,Whitbread Book of the Year,Whitbread,1992,no/any/multi genre,0161,winner,Torrington,Jeff,"Torrington, Jeff",Male,unknown,UK,White British,Scottish,none,none,none,none,79396668,00335,Swing Hammer Swing!,1990
3,Costa First Novel Award,Whitbread First Novel,Whitbread,1992,fiction,0161,winner,Torrington,Jeff,"Torrington, Jeff",Male,unknown,UK,White British,Scottish,none,none,none,none,79396668,00335,Swing Hammer Swing!,1990
8,Booker Prize,Booker Prize,Booker Foundation,1992,fiction,0280,winner,Unsworth,Barry,"Unsworth, Barry",Male,unknown,UK,White British,English,Bachelors,University of Manchester,Language and Literature,English Literature,54168450,00344,Sacred Hunger,1990
2,Costa Book of the Year,Whitbread Book of the Year,Whitbread,1993,no/any/multi genre,0158,winner,Brady,Joan,"Brady, Joan",Female,unknown,UK,Non-UK White,White American,Bachelors,Columbia University,Philosophy and Theology,Philosophy,24930291,00038,Theory of War,1990
4,Costa Novel Award,Whitbread Novel,Whitbread,1993,fiction,0158,winner,Brady,Joan,"Brady, Joan",Female,unknown,UK,Non-UK White,White American,Bachelors,Columbia University,Philosophy and Theology,Philosophy,24930291,00038,Theory of War,1990
14,TS Eliot Prize,TS Eliot Prize,TS Eliot Foundation,1993,poetry,0542,winner,Carson,Ciaran,"Carson, Ciaran",Male,unknown,UK,White British,Northern Irish,Bachelors,Queen's University,Language and Literature,English,85621766,00695,First Language: Poems,1990
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,1993,crime,0488,winner,Cornwell,Patricia,"Cornwell, Patricia",Female,queer,Non-UK,Non-UK White,White American,Bachelors,Davidson College,Language and Literature,English,36976332,00624,Cruel and Unusual,1990
3,Costa First Novel Award,Whitbread First Novel,Whitbread,1993,fiction,0159,winner,Cusk,Rachel,"Cusk, Rachel",Female,unknown,UK,White British,British,Bachelors,University of Oxford,Language and Literature,English Literature,318745,00064,Saving Agnes,1990
8,Booker Prize,Booker Prize,Booker Foundation,1993,fiction,0286,winner,Doyle,Roddy,"Doyle, Roddy",Male,unknown,Non-UK,Irish,Irish,Bachelors,University College Dublin,Multiple,English and Geography,17301306,00076,Paddy Clarke Ha Ha Ha,1990
6,Costa Poetry Award,Whitbread Poetry,Whitbread,1993,poetry,0085,winner,Duffy,Carol Ann,"Duffy, Carol Ann",Female,queer,UK,White British,Scottish,Bachelors,University of Liverpool,Philosophy and Theology,Philosophy,114321106,00078,Mean Time,1990
12,BSFA Award for Best Novel,BSFA Award for Best Novel,British Science Fiction Association,1993,sff,0510,winner,Evans,Christopher,"Evans, Christopher",Male,unknown,UK,White British,Welsh,Masters,Swansea University,unknown,unknown,27290860,00657,Aztec Century,1990
7,Costa Children's Book Award,Whitbread Children's Novel,Whitbread,1993,children's,0146,winner,Fine,Anne,"Fine, Anne",Female,unknown,UK,White British,British,unknown,unknown,Politics and Economics,Politics and History,17258209,00096,Flour Babies,1990
8,Booker Prize,Booker Prize,Booker Foundation,1993,fiction,0287,shortlisted,Fischer,Tibor,"Fischer, Tibor",Male,unknown,UK,Non-UK White,Hungarian British,Bachelors,University of Cambridge,Language and Literature,Latin and French,66560509,00098,Under the Frog,1990
8,Booker Prize,Booker Prize,Booker Foundation,1993,fiction,0288,shortlisted,Ignatieff,Michael,"Ignatieff, Michael",Male,unknown,Non-UK,Non-UK White,Russian Canadian,Doctorate,Harvard University,unknown,unknown,108356200,00151,Scar Tissue,1990
8,Booker Prize,Booker Prize,Booker Foundation,1993,fiction,0289,shortlisted,Malouf,David,"Malouf, David",Male,queer,UK,Jewish,British Jewish Lebanese Australian,Bachelors,University of Queensland,unknown,unknown,9850098,00192,Remembering Babylon,1990
5,Costa Biography Award,Whitbread Biography,Whitbread,1993,biography,0160,winner,Motion,Andrew,"Motion, Andrew",Male,unknown,UK,White British,English,Masters,University of Oxford,Language and Literature,Literature,108893413,00236,Philip Larkin: A Writer's Life,1990
8,Booker Prize,Booker Prize,Booker Foundation,1993,fiction,0030,shortlisted,Phillips,Caryl,"Phillips, Caryl",Male,unknown,UK,Caribbean,Kittitian British,Bachelors,University of Oxford,Language and Literature,Literature,61589936,00261,Crossing the River,1990
8,Booker Prize,Booker Prize,Booker Foundation,1993,fiction,0261,shortlisted,Shields,Carol,"Shields, Carol",Female,unknown,Non-UK,Non-UK White,White American Canadian,Masters,University of Ottawa,Language and Literature,English Literature,4944537,00294,The Stone Diaries,1990
1,James Tait Black Prize for Fiction,James Tait Black Prize for Fiction,The University of Edinburgh,1993,fiction,0031,winner,Tremain,Rose,"Tremain, Rose",Female,unknown,UK,White British,English,Bachelors,University of East Anglia,Language and Literature,English Literature,49285360,00337,Sacred Country,1990
12,BSFA Award for Best Novel,BSFA Award for Best Novel,British Science Fiction Association,1994,sff,0508,winner,Banks,Iain M,"Banks, Iain M",Male,unknown,UK,White British,Scottish,Bachelors,University of Stirling,Multiple,"English Literature, Philosophy and Psychology",73864945,00656,Feersum Endjinn,1990
8,Booker Prize,Booker Prize,Booker Foundation,1994,fiction,0284,shortlisted,Brown,George Mackay,"Brown, George Mackay",Male,unknown,UK,White British,Scottish,Masters,University of Edinburgh,Language and Literature,English Literature,100270317,00039,Beside the Ocean of Time,1990
3,Costa First Novel Award,Whitbread First Novel,Whitbread,1994,fiction,0154,winner,D'Aguiar,Fred,"D'Aguiar, Fred",Male,unknown,UK,Caribbean,Guyanese British,Bachelors,University of Kent,History and Cultural Studies,African and Caribbean Studies,115553031,00065,The Longest Memory,1990
6,Costa Poetry Award,Whitbread Poetry,Whitbread,1994,poetry,0156,winner,Fenton,James,"Fenton, James",Male,unknown,UK,White British,English,Bachelors,University of Oxford,Language and Literature,English Literature,108728657,00093,Out of Danger,1990
8,Booker Prize,Booker Prize,Booker Foundation,1994,fiction,0282,shortlisted,Gunesekera,Romesh,"Gunesekera, Romesh",Male,unknown,UK,Asian,Sri Lankan Sinhalese,Bachelors,University of Liverpool,Multiple,English and Philosophy,85314372,00123,Reef,1990
8,Booker Prize,Booker Prize,Booker Foundation,1994,fiction,0283,shortlisted,Gurnah,Abdulrazak,"Gurnah, Abdulrazak",Male,unknown,UK,African,Tanzanian British,Doctorate,University of Kent,Language and Literature,African Literature,69037521,00124,Paradise,1990
8,Booker Prize,Booker Prize,Booker Foundation,1994,fiction,0029,shortlisted,Hollinghurst,Alan,"Hollinghurst, Alan",Male,queer,UK,White British,English,Masters,University of Oxford,Language and Literature,English Literature,90719312,00141,The Folding Star,1990
8,Booker Prize,Booker Prize,Booker Foundation,1994,fiction,0281,winner,Kelman,James,"Kelman, James",Male,unknown,UK,White British,Scottish,unknown,unknown,unknown,unknown,111431072,00166,"How late it was, how late",1990
5,Costa Biography Award,Whitbread Biography,Whitbread,1994,biography,0155,winner,Maddox,Brenda,"Maddox, Brenda",Female,unknown,UK,Non-UK White,American British,Bachelors,Harvard University,Language and Literature,English Literature,66492576,00190,D H Lawrence: The Married Man,1990
7,Costa Children's Book Award,Whitbread Children's Novel,Whitbread,1994,children's,0118,winner,McCaughrean,Geraldine,"McCaughrean, Geraldine",Female,unknown,UK,White British,British,unknown,Canterbury Christ Church University,unknown,unknown,54191408,00206,Gold Dust,1990
14,TS Eliot Prize,TS Eliot Prize,TS Eliot Foundation,1994,poetry,0541,winner,Muldoon,Paul,"Muldoon, Paul",Male,unknown,UK,White British,Northern Irish,Bachelors,Queen's University,Language and Literature,English,64048541,00694,The Annals of Chile,1990
1,James Tait Black Prize for Fiction,James Tait Black Prize for Fiction,The University of Edinburgh,1994,fiction,0030,winner,Phillips,Caryl,"Phillips, Caryl",Male,unknown,UK,Caribbean,Kittitian British,Bachelors,University of Oxford,Language and Literature,Literature,61589936,00261,Crossing the River,1990
2,Costa Book of the Year,Whitbread Book of the Year,Whitbread,1994,no/any/multi genre,0153,winner,Trevor,William,"Trevor, William",Male,unknown,UK,Irish,Irish,Bachelors,"Trinity College, Dublin",History and Cultural Studies,History,101362985,00338,Felicia's Journey,1990
4,Costa Novel Award,Whitbread Novel,Whitbread,1994,fiction,0153,winner,Trevor,William,"Trevor, William",Male,unknown,UK,Irish,Irish,Bachelors,"Trinity College, Dublin",History and Cultural Studies,History,101362985,00338,Felicia's Journey,1990
8,Booker Prize,Booker Prize,Booker Foundation,1994,fiction,0285,shortlisted,Walsh,Jill Paton,"Walsh, Jill Paton",Female,unknown,UK,White British,English,Bachelors,University of Oxford,Language and Literature,English Literature,41968,00348,Knowledge of Angels,1990
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,1994,crime,0481,winner,Walters,Minette,"Walters, Minette",Female,unknown,UK,White British,English,Bachelors,Durham University,Language and Literature,French,79704,00623,The Schold's Bridle,1990
2,Costa Book of the Year,Whitbread Book of the Year,Whitbread,1995,no/any/multi genre,0065,winner,Atkinson,Kate,"Atkinson, Kate",Female,unknown,UK,White British,English,Masters,Dundee University,Language and Literature,English Literature,120584857,00009,Behind the Scenes at the Museum,1990
3,Costa First Novel Award,Whitbread First Novel,Whitbread,1995,fiction,0065,winner,Atkinson,Kate,"Atkinson, Kate",Female,unknown,UK,White British,English,Masters,Dundee University,Language and Literature,English Literature,120584857,00009,Behind the Scenes at the Museum,1990
8,Booker Prize,Booker Prize,Booker Foundation,1995,fiction,0279,winner,Barker,Pat,"Barker, Pat",Female,unknown,UK,White British,English,unknown,University of Cambridge,Multiple,Philosophy and English,98651598,00023,The Ghost Road,1990
12,BSFA Award for Best Novel,BSFA Award for Best Novel,British Science Fiction Association,1995,sff,0509,winner,Baxter,Stephen,"Baxter, Stephen",Male,unknown,UK,White British,English,unknown,University of Southampton,Maths and Sciences,Engineering,32155411,00655,The Time Ships,1990
8,Booker Prize,Booker Prize,Booker Foundation,1995,fiction,0141,shortlisted,Cartwright,Justin,"Cartwright, Justin",Male,unknown,UK,Non-UK White,White South African,Bachelors,University of Oxford,Politics and Economics,"Politics, Philosophy and Economics",54460956,00050,In Every Face I Meet,1990
14,TS Eliot Prize,TS Eliot Prize,TS Eliot Foundation,1995,poetry,0540,winner,Doty,Mark,"Doty, Mark",Male,queer,Non-UK,Non-UK White,White American,Masters,Goddard College,Writing,Creative Writing,84141526,00693,My Alexandria,1990
1,James Tait Black Prize for Fiction,James Tait Black Prize for Fiction,The University of Edinburgh,1995,fiction,0029,winner,Hollinghurst,Alan,"Hollinghurst, Alan",Male,queer,UK,White British,English,Masters,University of Oxford,Language and Literature,English Literature,90719312,00141,The Folding Star,1990
5,Costa Biography Award,Whitbread Biography,Whitbread,1995,biography,0150,winner,Jenkins,Roy,"Jenkins, Roy",Male,queer,UK,White British,British,Bachelors,University of Oxford,unknown,unknown,68965748,00159,Gladstone,1990
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,1995,crime,0479,winner,McDermid,Val,"McDermid, Val",Female,queer,UK,White British,Scottish,Bachelors,University of Oxford,Language and Literature,English,85313207,00622,The Mermaids Singing,1990
7,Costa Children's Book Award,Beefeater Children's Novel,Whitbread,1995,children's,0152,winner,Morpurgo,Michael,"Morpurgo, Michael",Male,unknown,UK,White British,English,Bachelors,"King's College, London",unknown,unknown,27084898,00233,The Wreck of the Zanzibar,1990
6,Costa Poetry Award,Whitbread Poetry,Whitbread,1995,poetry,0151,winner,O'Donoghue,Bernard,"O'Donoghue, Bernard",Male,unknown,Non-UK,Irish,Irish,unknown,Cornell University,Writing,Creative Writing,34553683,00244,Gunpowder,1990
4,Costa Novel Award,Whitbread Novel,Whitbread,1995,fiction,0149,winner,Rushdie,Salman,"Rushdie, Salman",Male,unknown,UK,Asian,Indian British,Masters,University of Cambridge,History and Cultural Studies,History,29540187,00282,The Moor's Last Sigh,1990
8,Booker Prize,Booker Prize,Booker Foundation,1995,fiction,0149,shortlisted,Rushdie,Salman,"Rushdie, Salman",Male,unknown,UK,Asian,Indian British,Masters,University of Cambridge,History and Cultural Studies,History,29540187,00282,The Moor's Last Sigh,1990
8,Booker Prize,Booker Prize,Booker Foundation,1995,fiction,0280,shortlisted,Unsworth,Barry,"Unsworth, Barry",Male,unknown,UK,White British,English,Bachelors,University of Manchester,Language and Literature,English Literature,54168450,00343,Morality Play,1990
8,Booker Prize,Booker Prize,Booker Foundation,1995,fiction,0262,shortlisted,Winton,Tim,"Winton, Tim",Male,unknown,Non-UK,Non-UK White,White Australian,Bachelors,Western Australian Institute of Technology,Writing,Creative Writing,61597721,00356,The Riders,1990
8,Booker Prize,Booker Prize,Booker Foundation,1996,fiction,0190,shortlisted,Atwood,Margaret,"Atwood, Margaret",Female,unknown,Non-UK,Non-UK White,White Canadian,Masters,Radcliffe College,Language and Literature,English Literature,109322990,00011,Alias Grace,1990
4,Costa Novel Award,Whitbread Novel Award,Whitbread,1996,fiction,0024,winner,Bainbridge,Beryl,"Bainbridge, Beryl",Female,unknown,UK,White British,English,none,none,none,none,4142979,00019,Every Man for Himself,1990
8,Booker Prize,Booker Prize,Booker Foundation,1996,fiction,0024,shortlisted,Bainbridge,Beryl,"Bainbridge, Beryl",Female,unknown,UK,White British,English,none,none,none,none,4142979,00019,Every Man for Himself,1990
12,BSFA Award for Best Novel,BSFA Award for Best Novel,British Science Fiction Association,1996,sff,0508,winner,Banks,Iain M,"Banks, Iain M",Male,unknown,UK,White British,Scottish,Bachelors,University of Stirling,Multiple,"English Literature, Philosophy and Psychology",73864945,00654,Excession,1990
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,1996,fiction,0376,shortlisted,Blackburn,Julia,"Blackburn, Julia",Female,unknown,UK,White British,British,unknown,unknown,unknown,unknown,56745497,00495,The Book of Colour,1990
8,Booker Prize,Booker Prize,Booker Foundation,1996,fiction,0277,shortlisted,Deane,Seamus,"Deane, Seamus",Male,unknown,Non-UK,Irish,Irish,Doctorate,University of Cambridge,Language and Literature,Literature,108344790,00069,Reading in the Dark,1990
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,1996,fiction,0054,winner,Dunmore,Helen,"Dunmore, Helen",Female,unknown,UK,White British,English,Bachelors,University of York,Language and Literature,English Literature,79148136,00494,A Spell of Winter,1990
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,1996,crime,0487,winner,Elton,Ben,"Elton, Ben",Male,unknown,UK,Jewish,Jewish British,Bachelors,University of Manchester,Arts,Drama,24743920,00621,Popcorn,1990
7,Costa Children's Book Award,Whitbread Children's Book of the Year,Whitbread,1996,children's,0146,winner,Fine,Anne,"Fine, Anne",Female,unknown,UK,White British,British,unknown,unknown,Politics and Economics,Politics and History,17258209,00097,The Tulip Touch,1990
2,Costa Book of the Year,Whitbread Book of the Year,Whitbread,1996,no/any/multi genre,0134,winner,Heaney,Seamus,"Heaney, Seamus",Male,unknown,UK,White British,Northern Irish,Bachelors,Queen's University,Language and Literature,English Literature,109557338,00136,The Spirit Level,1990
6,Costa Poetry Award,Whitbread Poetry Award,Whitbread,1996,poetry,0134,winner,Heaney,Seamus,"Heaney, Seamus",Male,unknown,UK,White British,Northern Irish,Bachelors,Queen's University,Language and Literature,English Literature,109557338,00136,The Spirit Level,1990
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,1996,fiction,0388,shortlisted,Kennedy,Pagan,"Kennedy, Pagan",Female,unknown,Non-UK,Non-UK White,White American,unknown,unknown,unknown,unknown,91912648,00496,Spinsters,1990
3,Costa First Novel Award,Whitbread First Novel Award,Whitbread,1996,fiction,0147,winner,Lanchester,John,"Lanchester, John",Male,unknown,UK,White British,English,unknown,unknown,unknown,unknown,85382594,00173,The Debt to Pleasure,1990
5,Costa Biography Award,Whitbread Biography Award,Whitbread,1996,biography,0148,winner,MacCulloch,Diarmaid,"MacCulloch, Diarmaid",Male,queer,UK,White British,English,Doctorate,University of Oxford,Philosophy and Theology,Theology,19699840,00185,Thomas Cranmer: A Life,1990
8,Booker Prize,Booker Prize,Booker Foundation,1996,fiction,0278,shortlisted,Mackay,Shena,"Mackay, Shena",Female,unknown,UK,White British,Scottish,none,none,none,none,49454346,00187,The Orchard on Fire,1990
8,Booker Prize,Booker Prize,Booker Foundation,1996,fiction,0260,shortlisted,Mistry,Rohinton,"Mistry, Rohinton",Male,unknown,Non-UK,Asian,Indian Canadian,Bachelors,Bombay University/University of Toronto,Multiple,Mathematics and Economics/English and Philosophy,29581388,00223,A Fine Balance,1990
14,TS Eliot Prize,TS Eliot Prize,TS Eliot Foundation,1996,poetry,0539,winner,Murray,Les,"Murray, Les",Male,unknown,Non-UK,Non-UK White,White Australian,Bachelors,Sydney University,Language and Literature,Modern Languages,4940524,00692,Subhuman Redneck Poems,1990
1,James Tait Black Prize for Fiction,James Tait Black Prize for Fiction,The University of Edinburgh,1996,fiction,0028,winner,Priest,Christopher,"Priest, Christopher",Male,unknown,UK,White British,English,none,none,none,none,54152946,00267,The Prestige,1990
8,Booker Prize,Booker Prize,Booker Foundation,1996,fiction,0026,winner,Swift,Graham,"Swift, Graham",Male,unknown,UK,White British,English,Bachelors,University of Oxford,Philosophy and Theology,Philosophy and Theology,4942037,00318,Last Orders,1990
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,1996,fiction,0389,shortlisted,Tan,Amy,"Tan, Amy",Female,unknown,Non-UK,Asian,Chinese American,Masters,San Jose State University,Language and Literature,Linguistics,110768273,00497,The Hundred Secret Senses,1990
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,1996,fiction,0212,shortlisted,Tyler,Anne,"Tyler, Anne",Female,unknown,Non-UK,Non-UK White,White American,Bachelors,Duke University,unknown,unknown,39384885,00498,Ladder of Years,1990
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,1996,fiction,0390,shortlisted,Wiggins,Marianne,"Wiggins, Marianne",Female,unknown,Non-UK,Non-UK White,White American,unknown,unknown,unknown,unknown,85439821,00499,Eveless Eden,1990
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,1997,fiction,0190,shortlisted,Atwood,Margaret,"Atwood, Margaret",Female,unknown,Non-UK,Non-UK White,White Canadian,Masters,Radcliffe College,Language and Literature,English Literature,109322990,00011,Alias Grace,1990
4,Costa Novel Award,Whitbread Novel Award,Whitbread,1997,fiction,0009,winner,Crace,Jim,"Crace, Jim",Male,unknown,UK,White British,English,Bachelors,University of London,Language and Literature,English Literature,66497143,00062,Quarantine,1990
8,Booker Prize,Booker Prize,Booker Foundation,1997,fiction,0009,shortlisted,Crace,Jim,"Crace, Jim",Male,unknown,UK,White British,English,Bachelors,University of London,Language and Literature,English Literature,66497143,00062,Quarantine,1990
2,Costa Book of the Year,Whitbread Book of the Year,Whitbread,1997,no/any/multi genre,0139,winner,Hughes,Ted,"Hughes, Ted",Male,unknown,UK,White British,English,Bachelors,University of Cambridge,History and Cultural Studies,Archaeology and Anthropology,108232871,00147,Tales from Ovid,1990
6,Costa Poetry Award,Whitbread Poetry Award,Whitbread,1997,poetry,0139,winner,Hughes,Ted,"Hughes, Ted",Male,unknown,UK,White British,English,Bachelors,University of Cambridge,History and Cultural Studies,Archaeology and Anthropology,108232871,00147,Tales from Ovid,1990
8,Booker Prize,Booker Prize,Booker Foundation,1997,fiction,0273,shortlisted,Jackson,Mick,"Jackson, Mick",Male,unknown,UK,White British,British,Masters,University of East Anglia,Writing,Creative Writing,100319867,00154,The Underground Man,1990
8,Booker Prize,Booker Prize,Booker Foundation,1997,fiction,0274,shortlisted,MacLaverty,Bernard,"MacLaverty, Bernard",Male,unknown,UK,White British,Northern Irish,unknown,Queen's University,unknown,unknown,95151565,00188,Grace Notes,1990
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,1997,fiction,0350,shortlisted,Madden,Deirdre,"Madden, Deirdre",Female,unknown,UK,White British,Northern Irish,Masters,University of East Anglia,Writing,Creative Writing,79077809,00490,One by One in the Darkness,1990
3,Costa First Novel Award,Whitbread First Novel Award,Whitbread,1997,fiction,0144,winner,Melville,Pauline,"Melville, Pauline",Female,unknown,UK,Black British,British Guyanese,unknown,unknown,unknown,unknown,39508096,00216,The Ventriloquist's Tale,1990
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,1997,fiction,0385,shortlisted,Mendelsohn,Jane,"Mendelsohn, Jane",Female,unknown,Non-UK,Non-UK White,White American,Bachelors,Yale University,unknown,unknown,114984631,00491,I Was Amelia Earhart,1990
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,1997,fiction,0383,winner,Michaels,Anne,"Michaels, Anne",Female,unknown,Non-UK,Jewish,Jewish Canadian,Bachelors,University of Toronto,Language and Literature,English Literature,98055768,00489,Fugitive Pieces,1990
